Timepoint,ZT,Date,State,Value,Cenorm,
T2,17,21/01/2021 11:00,CE,34.722,1,
T2,17,21/01/2021 11:00,PML,17.07,0.491619146,0.33073063
T2,17,21/01/2021 11:00,PMP,51.613,1.486463913,
T2,17,21/01/2021 11:00,CIP,61.381,1.767784114,
T2,17,21/01/2021 11:00,CICIIP,76.793,2.211652555,
T2,17,21/01/2021 11:00,CIIP,54.253,1.5624964,
T2,17,21/01/2021 11:00,CIIL,18.723,0.539225851,
T2,17,21/01/2021 11:00,CIIE,51.689,1.488652727,
T2,17,21/01/2021 11:00,CE,31.964,1,
T2,17,21/01/2021 11:00,PML,14.742,0.461206357,0.313080043
T2,17,21/01/2021 11:00,PMP,47.087,1.473126017,
T2,17,21/01/2021 11:00,CIP,56.152,1.756726317,
T2,17,21/01/2021 11:00,CICIIP,70.091,2.192810662,
T2,17,21/01/2021 11:00,CIIP,49.641,1.553028407,
T2,17,21/01/2021 11:00,CIIL,19.323,0.604523839,
T2,17,21/01/2021 11:00,CIIE,45.215,1.41456013,
T2,17,21/01/2021 11:00,CE,34.298,1,
T2,17,21/01/2021 11:00,PML,14.871,0.433582133,0.281941416
T2,17,21/01/2021 11:00,PMP,52.745,1.537844772,
T2,17,21/01/2021 11:00,CIP,63.959,1.864802612,
T2,17,21/01/2021 11:00,CICIIP,80.919,2.359292087,
T2,17,21/01/2021 11:00,CIIP,58.863,1.71622252,
T2,17,21/01/2021 11:00,CIIL,18.799,0.548107761,
T2,17,21/01/2021 11:00,CIIE,54.366,1.585107003,
T2,17,21/01/2021 11:00,CE,35.87,1,
T2,17,21/01/2021 11:00,PML,17.368,0.484192919,0.343329314
T2,17,21/01/2021 11:00,PMP,50.587,1.410287148,
T2,17,21/01/2021 11:00,CIP,59.776,1.666462225,
T2,17,21/01/2021 11:00,CICIIP,77.239,2.153303596,
T2,17,21/01/2021 11:00,CIIP,52.324,1.458712016,
T2,17,21/01/2021 11:00,CIIL,19.326,0.538778924,
T2,17,21/01/2021 11:00,CIIE,49.978,1.393309172,
