POINT,CH1_TIME(min),CH1_DATA(cpm),CH2_TIME(min),CH2_DATA(cpm),CH3_TIME(min),CH3_DATA(cpm),CH4_TIME(min),CH4_DATA(cpm),CH5_TIME(min),CH5_DATA(cpm),CH6_TIME(min),CH6_DATA(cpm),CH7_TIME,CH7_DATA(cpm),,graph,CH8_TIME(min),CH8_DATA(cpm),CH9_TIME(min),CH9_DATA(cpm),CH10_TIME(min),CH10_DATA(cpm)
1,1,175167,1,189679,2,149098,2,157813,3,130001,3,134580,5,137377,105288.5567,32088.4433,5,146697,6,166591,6,177851
2,16,160493,16,157728,17,141239,17,149203,18,130690,18,123487,19,135398,104918.7423,30479.25773,19,152230,21,167650,21,182473
3,31,161516,31,149428,32,144355,32,150360,33,136942,33,121382,35,140013,104602.4742,35410.52577,35,160244,36,175756,36,190554
4,46,166857,46,150012,47,150721,47,159489,48,145581,48,124838,50,149124,104269.0515,44854.94845,50,171009,51,184073,51,196647
5,61,171086,61,152683,62,157447,62,167549,63,152263,63,130226,65,154078,103874.2784,50203.72165,65,180646,66,186842,66,193980
6,76,173537,76,157300,77,159707,77,174010,78,154236,78,135853,80,157914,103466.3918,54447.60825,80,182869,81,186299,81,192764
7,91,174025,91,160579,92,161096,92,178246,93,153874,93,142435,95,158444,103039.6495,55404.35052,95,182020,96,183256,96,189416
8,106,172176,106,161842,107,159766,107,179891,108,150830,108,146522,110,156626,102620.2268,54005.7732,110,177575,111,177056,111,183777
9,121,168404,121,161983,122,154670,122,179221,123,146033,123,150856,124,153255,102207.0515,51047.94845,124,170261,126,170525,126,175552
10,136,164909,136,161740,137,149485,137,176540,138,140274,138,153283,140,147788,101808.299,45979.70103,140,162395,141,163511,141,167886
11,151,159023,151,159828,152,144506,152,172525,153,135226,153,156499,154,142810,101448.3196,41361.68041,154,155992,156,156770,156,159950
12,166,154285,166,158636,167,139443,167,169166,168,130551,168,158353,170,138406,101111.1856,37294.81443,170,149346,171,151903,171,155582
13,181,150434,181,156230,182,133834,182,167097,183,126139,183,159393,184,133819,100796.5979,33022.40206,184,145683,186,148952,186,150623
14,196,147395,196,154463,197,130566,197,163900,198,123974,198,160809,200,130668,100504.299,30163.70103,200,141798,201,146680,201,148141
15,211,146444,211,154696,212,128854,212,163289,213,122919,213,163262,214,128855,100226.6907,28628.30928,214,139311,216,146427,216,147277
16,226,144404,226,154097,227,126859,227,162974,228,121922,228,164987,230,127631,99954.97938,27676.02062,230,137702,231,146952,231,145889
17,241,145037,241,154860,242,126858,242,163219,243,122672,243,167744,244,127280,99684.83505,27595.16495,244,137425,246,148941,246,145411
18,256,146741,256,156203,257,126275,257,165334,258,123634,258,170925,260,128713,99406.95876,29306.04124,260,138501,261,151626,261,146387
19,271,147903,271,158751,272,127267,272,168235,273,126121,273,174350,274,130222,99099.69072,31122.30928,274,139985,276,154380,276,148171
20,286,151095,286,162064,287,128984,287,172629,288,130329,288,179081,290,133391,98762.41237,34628.58763,290,143363,291,158312,291,151692
21,301,154060,301,165227,302,130551,302,175837,303,134186,303,181440,304,135555,98385.62887,37169.37113,304,144621,306,162340,306,153812
22,316,156282,316,168672,317,132883,317,181494,318,138011,318,185893,319,140249,97974.56701,42274.43299,319,147422,321,167731,321,157115
23,331,159911,331,172433,332,134769,332,185443,333,141983,333,189495,334,142890,97518.41237,45371.58763,334,150802,336,172004,336,161073
24,346,163547,346,175094,347,137663,347,189986,348,145950,348,192968,350,145674,97021.41237,48652.58763,350,153547,351,175748,351,164024
25,361,166098,361,178193,362,140232,362,194444,363,149201,363,195856,364,148393,96502.16495,51890.83505,364,156577,366,181323,366,167533
26,376,167745,376,180622,377,142641,377,196558,378,151991,378,197979,379,150902,95956.20619,54945.79381,379,159280,381,184551,381,169840
27,391,170615,391,182736,392,144186,392,200039,393,154890,393,200635,395,153311,95379.43299,57931.56701,395,160768,396,188590,396,172669
28,406,172497,406,183377,407,145526,407,201507,408,156368,408,201361,409,155398,94775.17526,60622.82474,409,161314,411,191129,411,174842
29,421,173409,421,184523,422,147167,422,203794,423,157797,423,202680,424,154847,94150.59794,60696.40206,424,163503,426,192973,426,176223
30,436,174114,436,184822,437,147601,437,203237,438,157790,438,200907,439,155355,93524.96907,61830.03093,439,163812,441,193762,441,176843
31,451,174309,451,185121,452,146662,452,203213,453,156567,453,200833,455,154677,92893.1134,61783.8866,455,163442,456,193722,456,178119
32,466,174181,466,184123,467,145083,467,202033,468,156095,468,199443,470,153790,92265.7732,61524.2268,470,162222,471,193947,471,178587
33,481,173271,481,182934,482,144485,482,200088,483,153033,483,198151,485,151788,91645.42268,60142.57732,485,161895,486,192369,486,177406
34,496,171847,496,181035,497,143532,497,200024,498,151013,498,194479,500,149332,91031.24742,58300.75258,500,159907,501,190747,501,177259
35,511,169403,511,180048,512,142227,512,197673,513,147880,513,191360,515,147032,90436,56596,515,157399,516,188455,516,176350
36,526,167688,526,175864,527,139410,527,194184,528,145390,528,188404,530,143697,89855.78351,53841.21649,530,155310,531,185331,531,173364
