Time,CH1_TIME(min),Per2,Bmal1,gene,peak 
0,721,-30943.42268,514251.6082,Per2,1741
15,736,-26633.97938,540341.4845,Per2,1681
30,751,-21915.24742,566016.7423,Per2,1682
45,766,-18762.98969,590813.7732,Per2,1727
60,781,-17015.54639,608665.8144,Per2,1713
75,796,-14344.15464,631183.2887,Per2,1728
90,811,-13367.85567,645942.866,Bmal1,1038
105,826,-12684.04124,664254.4948,Bmal1,1053
120,841,-12934.51546,675211.7526,Bmal1,1024
135,856,-12564.54639,689957.0928,Bmal1,994
150,871,-12459.75258,700647.9485,,
165,886,-12927.58763,708444.3918,,
180,901,-12623.72165,711077.268,,
195,916,-13266.21649,718176.1546,,
210,931,-13398.49485,725707.0928,,
225,946,-13785.37113,727450.0412,,
240,961,-14797.3299,732903.6495,,
255,976,-14826.12371,731840.299,,
270,991,-14879.51546,734796.3918,,
285,1006,-15599.86598,733749.6701,,
300,1021,-15782.93814,731134.8351,,
315,1036,-15796.5567,728607.8041,,
330,1051,-16074.35052,725462.9175,,
345,1066,-16287.30928,719898.433,,
360,1081,-16546,714840.5258,,
375,1096,-16133.56701,711128.3299,,
390,1111,-16243.73196,698385.2165,,
405,1126,-15786.41237,688741.0825,,
420,1141,-15466.04124,678697.5773,,
435,1156,-15245.41237,664091.2784,,
450,1171,-14616.51546,647135.4536,,
465,1186,-14231.23711,628136.1959,,
480,1201,-13992.64948,608842.6598,,
495,1216,-13337.74227,584442.6082,,
510,1231,-12338.48454,557008.5773,,
525,1246,-12088.49485,532535.3299,,
540,1261,-10804.7732,499258.9072,,
555,1276,-9824.319588,467316.4742,,
570,1291,-9049.340206,429977.7113,,
585,1306,-8578.020619,388977.2062,,
600,1321,-7257.989691,348884.4021,,
615,1336,-6235,301396.0206,,
630,1351,-5351.072165,257088.134,,
645,1366,-4165.649485,203819.7526,,
660,1381,-2972.340206,149854.7629,,
675,1396,-1837.28866,95834.28866,,
690,1411,-1372.917526,38891.27835,,
705,1426,39.49484536,-17912.10309,,
720,1441,1053.216495,-74960.03093,,
735,1456,2913.835052,-131377.299,,
750,1471,3595.876289,-185330.2165,,
765,1486,4684.618557,-240790.8351,,
780,1501,5816.051546,-295048.4742,,
795,1516,6570.835052,-344299.7835,,
810,1531,7622.907216,-397329.6392,,
825,1546,8258.742268,-442723.6186,,
840,1561,9283.57732,-485707.8144,,
855,1576,10226.58763,-528173.299,,
870,1591,10860.64948,-564863.6495,,
885,1606,11872.72165,-595689.6495,,
900,1621,12236.64948,-624759.7423,,
915,1636,12665.27835,-651324.4536,,
930,1651,13565.41237,-670462.5979,,
945,1666,13352.81443,-689888.5567,,
960,1681,13369.15464,-700691.6082,,
975,1696,13769.19588,-713243.8351,,
990,1711,14322.3299,-717813.7835,,
1005,1726,14705.19588,-720321.4639,,
1020,1741,14329.37113,-718695.5361,,
1035,1756,14557.21649,-715421.0619,,
1050,1771,14358.41237,-706379.1959,,
1065,1786,13759.72165,-697367.2887,,
1080,1801,14254.87629,-682212.0722,,
1095,1816,13471.3299,-664439.5979,,
1110,1831,13209.63918,-644976.5567,,
1125,1846,13074.95876,-621589.4845,,
1140,1861,12292.59794,-597278.8454,,
1155,1876,11702.91753,-566147.3299,,
1170,1891,11664.93814,-536304.7938,,
1185,1906,10794.06186,-505163.433,,
1200,1921,9730.989691,-465567.7526,,
1215,1936,9195.010309,-430960.1753,,
1230,1951,8945.309278,-391321.2784,,
1245,1966,8639.494845,-353132.7113,,
1260,1981,7782.206186,-309240.9485,,
1275,1996,7243.154639,-271728.732,,
1290,2011,6631.969072,-228739.9072,,
1305,2026,5627.948454,-185107.5052,,
1320,2041,5327.742268,-142084.5258,,
1335,2056,4261.618557,-101267.701,,
1350,2071,3766.587629,-60481.04124,,
1365,2086,3108.958763,-16870.81443,,
1380,2101,2466.216495,19746.04124,,
1395,2116,1884.556701,60779.51546,,
1410,2131,714.6701031,98981.17526,,
1425,2146,558.3298969,137628.2577,,
1440,2161,132.2371134,172828.9691,,
1455,2176,211.2886598,209491.5052,,
1470,2191,-966.0103093,237174.0825,,
1485,2206,-1712.608247,270755.1856,,
1500,2221,-2534.010309,297642.4227,,
1515,2236,-2439.010309,322921.7526,,
1530,2251,-2951.659794,344444.1134,,
1545,2266,-3381.587629,362357.2371,,
1560,2281,-4032.257732,381418.6186,,
1575,2296,-4251.28866,393844.8351,,
1590,2311,-5178.938144,408326.8557,,
1605,2326,-4672.969072,419080.433,,
1620,2341,-5315.587629,428340.6495,,
1635,2356,-5439.989691,430385.6598,,
1650,2371,-6079.608247,435703.1031,,
1665,2386,-6394.195876,437236.4124,,
1680,2401,-5721.030928,436139.2784,,
1695,2416,-6204.082474,433077.5979,,
1710,2431,-6557.762887,431358.3196,,
1725,2446,-7152.783505,423627.2474,,
1740,2461,-6894.42268,413681.8144,,
1755,2476,-6894.381443,401462.5567,,
1770,2491,-6874.474227,384659.9691,,
1785,2506,-6692.123711,374195.5155,,
1800,2521,-7006.185567,358013.6598,,
1815,2536,-6915.257732,339700.9072,,
1830,2551,-6881.773196,320581.7835,,
1845,2566,-6527.773196,299795.567,,
1860,2581,-6690.092784,275566.7938,,
1875,2596,-6355.886598,255307.6598,,
1890,2611,-6612.515464,231298.299,,
